【领域汇总】
"领域","收敛前数量","收敛后数量","削减数量","削减率"
"资金","122","94","28","23.0%"
"投资","60","39","21","35.0%"
"费用","109","75","34","31.2%"
"财税","210","165","45","21.4%"
"系统","536","494","42","7.8%"
"机构","24","16","8","33.3%"
"合计","1061","883","178","16.8%"

【城市×领域收敛矩阵】
"城市","资金_收敛前","资金_收敛后","资金_削减","投资_收敛前","投资_收敛后","投资_削减","费用_收敛前","费用_收敛后","费用_削减","财税_收敛前","财税_收敛后","财税_削减","系统_收敛前","系统_收敛后","系统_削减","机构_收敛前","机构_收敛后","机构_削减","合计削减数","合计削减率"
"上海","47","38","9","6","6","0","16","14","2","80","65","15","213","196","17","8","7","1","44","11.9%"
"合肥","17","14","3","34","19","15","34","16","18","51","46","5","77","68","9","7","1","6","56","25.5%"
"深圳","34","22","12","6","5","1","13","12","1","37","28","9","139","131","8","5","4","1","32","13.7%"
"成都","14","13","1","12","11","1","21","19","2","38","30","8","75","71","4","2","2","0","16","9.9%"
"内江","10","10","0","0","0","0","22","13","9","3","4","-1","27","27","0","1","1","0","8","12.7%"

【智能体明细】
"智能体ID","智能体名称","分中心","城市归属","所属领域","一级服务线","二级服务线","场景","调用量","发布状态","收敛状态","所属方案ID","方案代表智能体","方案相似度","方案智能体数"
"agent_431","估值小书包（信托）","成都分公司","成都","投资","","","","57","已发布","未收敛","","","",""
"agent_649","金融估值出题助手","成都分公司","成都","投资","","","","18","未发布","未收敛","","","",""
"agent_967","麒麟投资-财税","成都分公司","成都","投资","","","","5","未发布","未收敛","","","",""
"agent_1154","估值陪练","成都分公司","成都","投资","","","","1","已发布","未收敛","","","",""
"agent_1194","理财子-季度报告(1)","成都分公司","成都","投资","","","","1","未发布","未收敛","","","",""
"agent_465","人格-智审-基金总账","深圳分公司","深圳","投资","账套管理","入账审核","财务类服务项目","45","已发布","已收敛","proposal_12","账套管理-入账审核-统一智能体","49.0%","14"
"agent_388","资产管理","深圳分公司","深圳","投资","","","","77","已发布","未收敛","","","",""
"agent_504","智能翻译助手","深圳分公司","深圳","投资","","","","37","已发布","未收敛","","","",""
"agent_734","从保险产品信息图片中提取出产品名称、产品类别信息，并以EXCEL文件下载链接输出。","深圳分公司","深圳","投资","","","","12","已发布","未收敛","","","",""
"agent_787","智能翻译助手(1)","深圳分公司","深圳","投资","","","","10","未发布","未收敛","","","",""
"agent_1067","产品信息提取助手","深圳分公司","深圳","投资","","","","2","未发布","未收敛","","","",""
"agent_153","预算签报审核","","未归属","费用","","","","742","已发布","未收敛","","","",""
"agent_179","财务预算报销常见问题FAQ","洛阳分公司","未归属","费用","","","","593","已发布","未收敛","","","",""
"agent_400","金服西分财务知识库","西安分公司","未归属","费用","","","","69","已发布","未收敛","","","",""
"agent_37","人格-差旅制度对比","总部","上海","费用","费用审核","费用审核-人工线","","6905","已发布","已收敛","proposal_9","费用审核-费用审核-人工线-统一智能体","37.2%","7"
"agent_181","人格-寿险预算员审批","总部","上海","费用","寿险机构集中","寿险机构集中","","590","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_338","费用科目子目代码查询助手","上海分公司","上海","费用","账套附加","账套附加","财务类服务项目","121","已发布","已收敛","proposal_18","账套附加-账套附加-统一智能体","15.7%","14"
"agent_348","成本中心相关信息查询","上海分公司","上海","费用","账套附加","账套附加","财务类服务项目","107","已发布","已收敛","proposal_18","账套附加-账套附加-统一智能体","15.7%","14"
"agent_60","人格-预提数据处理-小小高","总部","上海","费用","机构集中","寿险机构集中-预算","","3130","已发布","未收敛","","","",""
"agent_169","财服-日常报销咨询","上海分公司","上海","费用","","","","652","已发布","未收敛","","","",""
"agent_381","人格-费用规则（旧）","总部","上海","费用","","","","81","已发布","未收敛","","","",""
"agent_426","预算员制度问答","总部","上海","费用","","","","59","已发布","未收敛","","","",""
"agent_481","增值税进项核对小工具","上海分公司","上海","费用","","","","41","未发布","未收敛","","","",""
"agent_610","预算下发要素识别","上海分公司","上海","费用","","","","22","未发布","未收敛","","","",""
"agent_828","预算签报签报审批—会议费审核","上海分公司","上海","费用","","","","9","已发布","未收敛","","","",""
"agent_902","增值税进项核对小工具_导出节点_2025-06-16 10:43:52","上海分公司","上海","费用","","","","6","未发布","未收敛","","","",""
"agent_933","人格-成本中心相关信息查询","上海分公司","上海","费用","","","","5","未发布","未收敛","","","",""
"agent_934","人格-旅运勾选匹配","总部","上海","费用","","","","5","已发布","未收敛","","","",""
"agent_1022","人格-费用合同信息审核","总部","上海","费用","","","","3","未发布","未收敛","","","",""
"agent_1211","调用蜂鸟记录工单-费用","总部","上海","费用","","","","1","已发布","未收敛","","","",""
"agent_11","人格-退回意见分类","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","26115","未发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_15","人格-咨询意见分类","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","21347","未发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_71","人格-FAQ生成","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","2515","未发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_89","人格-费用规则","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","1727","未发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_133","人格-费用合同关键信息提验","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","908","已发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_259","人格-税收简称查询","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","274","未发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_284","人格-内江日常事项处理指引","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","213","已发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_312","人格-工作日查询与计算","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","154","未发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_374","人格-印花税查询","内江分公司","内江","费用","税务及发票管理","税金测算","税务类服务项目","86","未发布","已收敛","proposal_15","税务及发票管理-税金测算-统一智能体","10.1%","6"
"agent_487","人格-采集规则","内江分公司","内江","费用","费用审核","费用审核","财务类服务项目","40","未发布","已收敛","proposal_3","费用审核-费用审核-统一智能体","13.5%","9"
"agent_95","费控分析-退回意见分类","内江分公司","内江","费用","","","","1565","未发布","未收敛","","","",""
"agent_120","内江-财服-费用线-科技预算签报审核","内江分公司","内江","费用","","","","1065","已发布","未收敛","","","",""
"agent_361","人格-多语言翻译","内江分公司","内江","费用","","","","97","未发布","未收敛","","","",""
"agent_417","人格-科技预算签报审核","内江分公司","内江","费用","预算员集中管理","预算提单管理","财务类服务项目","63","未发布","未收敛","","","",""
"agent_443","费用规则","内江分公司","内江","费用","","","","54","未发布","未收敛","","","",""
"agent_516","点创系列费用审核个性化规则指引","内江分公司","内江","费用","","","","35","未发布","未收敛","","","",""
"agent_525","科技系列费用审核个性化规则指引","内江分公司","内江","费用","","","","33","未发布","未收敛","","","",""
"agent_534","财智云报销知识库（机构版）","内江分公司","内江","费用","","","","32","未发布","未收敛","","","",""
"agent_706","费用规则审核_导出节点_2025-04-21 17:33:38","内江分公司","内江","费用","","","","14","未发布","未收敛","","","",""
"agent_885","费控分析-退回分析","内江分公司","内江","费用","","","","7","未发布","未收敛","","","",""
"agent_1000","财智云报销知识库（机构版）","内江分公司","内江","费用","","","","4","已发布","未收敛","","","",""
"agent_1214","费用审核规则小助手","内江分公司","内江","费用","","","","1","未发布","未收敛","","","",""
"agent_26","人格-购货方信息","合肥分公司","合肥","费用","费用审核","费用审核-人工件","","10323","已发布","已收敛","proposal_6","费用审核-费用审核-人工件-统一智能体","26.0%","3"
"agent_93","人格-总部预算调整","合肥分公司","合肥","费用","产险机构集中","产险机构集中","","1604","已发布","已收敛","proposal_4","产险机构集中-产险机构集中-统一智能体","16.8%","11"
"agent_115","人格-大连预算业务答疑精灵","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","1185","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_145","人格-差旅费审核问答","合肥分公司","合肥","费用","费用审核","费用审核-人工线","","813","已发布","已收敛","proposal_9","费用审核-费用审核-人工线-统一智能体","37.2%","7"
"agent_158","人格-报销类别与段值校验比对","合肥分公司","合肥","费用","费用审核","费用审核-人工线","","711","已发布","已收敛","proposal_9","费用审核-费用审核-人工线-统一智能体","37.2%","7"
"agent_256","山西预算签报提示小助手","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","282","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_288","人格-考勤与休假咨询","合肥分公司","合肥","费用","费用审核","费用审核-人工件","","206","已发布","已收敛","proposal_6","费用审核-费用审核-人工件-统一智能体","26.0%","3"
"agent_536","福建机构网格系列预算签报智能问答智能体","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","31","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_621","人格-财智云采集规则","合肥分公司","合肥","费用","费用审核","费用审核-人工件","","20","已发布","已收敛","proposal_6","费用审核-费用审核-人工件-统一智能体","26.0%","3"
"agent_695","人格-科目与子目对照关系检查","合肥分公司","合肥","费用","费用审核","费用审核-人工线","","14","已发布","已收敛","proposal_9","费用审核-费用审核-人工线-统一智能体","37.2%","7"
"agent_742","人格-预算员全流程百事通","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","12","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_743","人格-预算员审核要求问答","合肥分公司","合肥","费用","费用审核","费用审核-人工线","","12","已发布","已收敛","proposal_9","费用审核-费用审核-人工线-统一智能体","37.2%","7"
"agent_755","人格-产险预算出题助手","合肥分公司","合肥","费用","产险机构集中","产险机构集中","","11","已发布","已收敛","proposal_4","产险机构集中-产险机构集中-统一智能体","16.8%","11"
"agent_774","人格-租赁操作手册问答","合肥分公司","合肥","费用","费用审核","费用审核-人工线","","10","已发布","已收敛","proposal_9","费用审核-费用审核-人工线-统一智能体","37.2%","7"
"agent_804","人格-寿险Y1预算子目查询","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","9","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_807","人格-寿险预算题库通","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","9","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_830","人格--报销类别识别","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","8","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_832","人格-寿险差旅费标准查询","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","8","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_894","人格-培训费审核问答","合肥分公司","合肥","费用","费用审核","费用审核-人工线","","6","已发布","已收敛","proposal_9","费用审核-费用审核-人工线-统一智能体","37.2%","7"
"agent_962","网格预算签报智能出题","合肥分公司","合肥","费用","寿险机构集中","寿险机构集中","","5","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_12","人格-寿险旅客运输信息匹配","合肥分公司","合肥","费用","寿险机构集中-税务","寿险机构集中-税务","","24701","已发布","未收敛","","","",""
"agent_49","人格-寿险制度百事通","合肥分公司","合肥","费用","机构集中","寿险机构集中-预算","","4173","已发布","未收敛","","","",""
"agent_68","寿险-预算人员成本中心对应查询","合肥分公司","合肥","费用","","","","2765","已发布","未收敛","","","",""
"agent_261","预算业务知识库","合肥分公司","合肥","费用","","","","269","已发布","未收敛","","","",""
"agent_322","测试-非方案签报(江苏)","合肥分公司","合肥","费用","","","","142","已发布","未收敛","","","",""
"agent_436","人格-旅客运输勾选匹配","合肥分公司","合肥","费用","","","","56","已发布","未收敛","","","",""
"agent_557","旅客运输进项勾选匹配","合肥分公司","合肥","费用","","","","27","已发布","未收敛","","","",""
"agent_565","关于福建机构寿险集中预算模块网格知识点问答。","合肥分公司","合肥","费用","","","","26","已发布","未收敛","","","",""
"agent_652","人格-预算签报提示小助手","合肥分公司","合肥","费用","","","","17","已发布","未收敛","","","",""
"agent_783","报销类别识别_导出节点_2025-06-24 15:55:50","合肥分公司","合肥","费用","","","","10","未发布","未收敛","","","",""
"agent_910","智能预算员-合肥","合肥分公司","合肥","费用","","","","6","已发布","未收敛","","","",""
"agent_950","差旅费标准查询","合肥分公司","合肥","费用","","","","5","未发布","未收敛","","","",""
"agent_1013","ITAX完税凭证智能核验_导出节点_2025-07-10 14:58:09","合肥分公司","合肥","费用","","","","3","未发布","未收敛","","","",""
"agent_1145","人事预算子目释义","合肥分公司","合肥","费用","","","","1","已发布","未收敛","","","",""
"agent_126","人格-关联公司预算人员查询","成都分公司","成都","费用","账套附加","账套附加","财务类服务项目","960","已发布","已收敛","proposal_18","账套附加-账套附加-统一智能体","15.7%","14"
"agent_410","人格-费用陪练助手","成都分公司","成都","费用","系统运维管理","系统运维管理","系统运维类服务项目","66","已发布","已收敛","proposal_17","系统运维管理-系统运维管理-统一智能体","23.7%","7"
"agent_554","人格-财智云费用出题助手","成都分公司","成都","费用","系统运维管理","系统运维管理","系统运维类服务项目","27","已发布","已收敛","proposal_17","系统运维管理-系统运维管理-统一智能体","23.7%","7"
"agent_5","合规供应商识别","成都分公司","成都","费用","","","","82388","已发布","未收敛","","","",""
"agent_35","预提子目弹性域规则-前","成都分公司","成都","费用","账套管理/陆控机构集中","入账审核/账套管理-入账审核（陆控机构）","","7341","未发布","未收敛","","","",""
"agent_99","人格-预提子目弹性域规则","成都分公司","成都","费用","","","","1408","已发布","未收敛","","","",""
"agent_108","e采年结财务入账注意事项","成都分公司","成都","费用","","","","1282","已发布","未收敛","","","",""
"agent_124","科技费用报销审批链查询","成都分公司","成都","费用","","","","1012","已发布","未收敛","","","",""
"agent_135","人格-普惠预核算对照关系校验","成都分公司","成都","费用","","","","898","已发布","未收敛","","","",""
"agent_150","智能体标签：知识问答智能体业务范围：e采对接总账的预提及分摊流程内容，涵盖三方交叉系统关联交互，操作步骤复杂且缺乏统一的指引智能体业务效果：1、减少下单人和作业人员对流程理解不一致，引起的操作失误，能帮助用户进行预算管控辅助分析2、财务人员年月结作业效率更高效","成都分公司","成都","费用","","","","759","已发布","未收敛","","","",""
"agent_226","人格-寿险预算审核知识库（迭代版本）","成都分公司","成都","费用","","","","332","已发布","未收敛","","","",""
"agent_310","人格-陆控预提弹性域规则","成都分公司","成都","费用","","","","165","已发布","未收敛","","","",""
"agent_344","人格-财智云审批链问答助手","成都分公司","成都","费用","财智云咨询","财智云咨询","","113","已发布","未收敛","","","",""
"agent_664","人格-陆控预提弹性域规则_导出节点_2025-06-05 16:47:47","成都分公司","成都","费用","","","","16","未发布","未收敛","","","",""
"agent_866","人格-预算员培训助手(1)","成都分公司","成都","费用","","","","7","已发布","未收敛","","","",""
"agent_935","人格-普惠预核算对照关系校验_导出节点_2025-06-10 16:08:06","成都分公司","成都","费用","","","","5","未发布","未收敛","","","",""
"agent_1060","预算员培训助手","成都分公司","成都","费用","","","","3","已发布","未收敛","","","",""
"agent_1198","科技报销审批链查询","成都分公司","成都","费用","","","","1","已发布","未收敛","","","",""
"agent_1215","费用陪练助手","成都分公司","成都","费用","","","","1","已发布","未收敛","","","",""
"agent_1224","采购分摊功能问答","成都分公司","成都","费用","","","","1","已发布","未收敛","","","",""
"agent_1228","预算员审批助手","成都分公司","成都","费用","","","","1","已发布","未收敛","","","",""
"agent_101","人格-预算员培训助手","深圳分公司","深圳","费用","寿险机构集中","寿险机构集中","","1391","已发布","已收敛","proposal_11","寿险机构集中-寿险机构集中-统一智能体","11.0%","36"
"agent_20","预算员培训助手","深圳分公司","深圳","费用","","","","15165","","未收敛","","","",""
"agent_345","采购过程说明智能体","深圳分公司","深圳","费用","","","","111","已发布","未收敛","","","",""
"agent_472","采购立项签报分析助手（最终版）","深圳分公司","深圳","费用","","","","44","已发布","未收敛","","","",""
"agent_488","AMS指令录入星枢导航站","深圳分公司","深圳","费用","","","","39","未发布","未收敛","","","",""
"agent_501","人格-预算员培训助手11","深圳分公司","深圳","费用","","","","37","已发布","未收敛","","","",""
"agent_758","人格-预算知识","深圳分公司","深圳","费用","","","","11","未发布","未收敛","","","",""
"agent_886","采购过程说明智能体(1)","深圳分公司","深圳","费用","","","","7","未发布","未收敛","","","",""
"agent_896","人格-预算员培训助手(20)","深圳分公司","深圳","费用","","","","6","已发布","未收敛","","","",""
"agent_1002","费用立项审批","深圳分公司","深圳","费用","","","","4","未发布","未收敛","","","",""
"agent_1080","人格-预算培训出题","深圳分公司","深圳","费用","","","","2","未发布","未收敛","","","",""
"agent_1121","采购立项签报分析助手（测试版）","深圳分公司","深圳","费用","","","","2","已发布","未收敛","","","",""
"agent_1156","全域采购品类目录_导出节点_2025-08-07 10:57:39","深圳分公司","深圳","费用","","","","1","未发布","未收敛","","","",""
"agent_380","人格-风控-税务发票质检","","未归属","财税","税务及发票管理","发票管理","税务类服务项目","82","已发布","未收敛","","","",""
"agent_104","人格-重点科目月结检查","上海分公司","上海","财税","账套管理","月结基础套餐","财务类服务项目","1368","已发布","已收敛","proposal_13","账套管理-月结基础套餐-统一智能体","14.9%","14"
"agent_127","人格-风控-ITAX税金录入完整性质检","上海分公司","上海","财税","税务专项管理","税务附加业务","税务类服务项目","946","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_130","人格-风控-总账弹性域校验","总部","上海","财税","账套管理","月结基础套餐","财务类服务项目","917","已发布","已收敛","proposal_13","账套管理-月结基础套餐-统一智能体","14.9%","14"
"agent_138","人格-风控-税务申报质检","总部","上海","财税","税务及发票管理","税金申报","","878","已发布","已收敛","proposal_20","税务及发票管理-税金申报-统一智能体","29.8%","2"
"agent_170","人格-税局截屏检查","总部","上海","财税","税务及发票管理","税务申报","税务类服务项目","641","已发布","已收敛","proposal_23","税务及发票管理-税务申报-统一智能体","21.2%","2"
"agent_172","人格-税务财务报表智能核对","总部","上海","财税","税务及发票管理","税务申报","税务类服务项目","630","已发布","已收敛","proposal_23","税务及发票管理-税务申报-统一智能体","21.2%","2"
"agent_264","人格-文化事业建设费自动测算","上海分公司","上海","财税","税务专项管理","税务附加业务","税务类服务项目","265","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_270","人格-智能税审π","上海分公司","上海","财税","税务专项管理","税务附加业务","税务类服务项目","255","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_280","人格-风控-进项申报比对","总部","上海","财税","税务专项管理","税务附加业务","税务类服务项目","227","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_285","平安健康子目信息查询","上海分公司","上海","财税","账套管理","创建凭证","财务类服务项目","209","已发布","已收敛","proposal_24","账套管理-创建凭证-统一智能体","4.7%","5"
"agent_286","人格-智能合同多税种测算","上海分公司","上海","财税","税务及发票管理","税金测算","税务类服务项目","208","已发布","已收敛","proposal_15","税务及发票管理-税金测算-统一智能体","10.1%","6"
"agent_293","人格-风控-税务分配表智能核对","总部","上海","财税","税务及发票管理","税金申报","","195","已发布","已收敛","proposal_20","税务及发票管理-税金申报-统一智能体","29.8%","2"
"agent_298","上海财税一部一组总账分工","上海分公司","上海","财税","账套管理","月结基础套餐","财务类服务项目","185","已发布","已收敛","proposal_13","账套管理-月结基础套餐-统一智能体","14.9%","14"
"agent_306","税收优惠查询","上海分公司","上海","财税","税务专项管理","税务附加业务","税务类服务项目","175","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_324","人格-个税知识库","上海分公司","上海","财税","税务专项管理","税务附加业务","税务类服务项目","134","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_337","人格-社保及税金智能识别","上海分公司","上海","财税","账套管理","创建凭证","财务类服务项目","121","已发布","已收敛","proposal_24","账套管理-创建凭证-统一智能体","4.7%","5"
"agent_350","人格-增值税进项核对小工具","上海分公司","上海","财税","税务及发票管理","税金测算","税务类服务项目","105","已发布","已收敛","proposal_15","税务及发票管理-税金测算-统一智能体","10.1%","6"
"agent_364","人格-报税截止时间查询","上海分公司","上海","财税","税务专项管理","税务附加业务","税务类服务项目","94","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_427","人格-印花税税目税率查询","上海分公司","上海","财税","税务专项管理","税务附加业务","税务类服务项目","58","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_428","人格-报税期间每日作业内容查询","上海分公司","上海","财税","税务专项管理","税务附加业务","税务类服务项目","58","已发布","已收敛","proposal_19","税务专项管理-税务附加业务-统一智能体","23.8%","9"
"agent_452","人格-资产统计工具","上海分公司","上海","财税","账套管理","月结基础套餐","财务类服务项目","48","已发布","已收敛","proposal_13","账套管理-月结基础套餐-统一智能体","14.9%","14"
"agent_693","人格-发票信息提取","上海分公司","上海","财税","税务及发票管理","税金测算","税务类服务项目","14","已发布","已收敛","proposal_15","税务及发票管理-税金测算-统一智能体","10.1%","6"
"agent_29","人格-印花税测算","总部","上海","财税","税务专项管理","税金测算","","9108","已发布","未收敛","","","",""
"agent_74","合同印花税智能识别判断-供8月测试版本","总部","上海","财税","","","","2421","已发布","未收敛","","","",""
"agent_141","合同印花税智能识别判断-内测版","总部","上海","财税","","","","859","已发布","未收敛","","","",""
"agent_223","月结指令对账检查（作废）","总部","上海","财税","","","","358","已发布","未收敛","","","",""
"agent_230","印花税智能判断工作流_压缩包批量处理版","总部","上海","财税","","","","324","已发布","未收敛","","","",""
"agent_252","人格-台账余额比对校验","上海分公司","上海","财税","账套管理","应收应付管理","财务类服务项目","289","已发布","未收敛","","","",""
"agent_260","队伍-财税线问答【捶捶】","总部","上海","财税","","","","271","已发布","未收敛","","","",""
"agent_358","财税-测试通用OCR+大模型","总部","上海","财税","","","","99","已发布","未收敛","","","",""
"agent_403","银企对账智能体","上海分公司","上海","财税","","","","68","未发布","未收敛","","","",""
"agent_415","上海财税机构集中-智能出题-寿险核算","上海分公司","上海","财税","","","","63","已发布","未收敛","","","",""
"agent_453","人格-重分类财务报表编制","上海分公司","上海","财税","","","","48","未发布","未收敛","","","",""
"agent_473","人格-上海地区财税一部会计一组总账分工","上海分公司","上海","财税","","","","43","已发布","未收敛","","","",""
"agent_492","税务专项助手","总部","上海","财税","","","","39","未发布","未收敛","","","",""
"agent_494","资产数统计小工具","上海分公司","上海","财税","","","","39","已发布","未收敛","","","",""
"agent_498","识别账套代码与账套、税务负责人","上海分公司","上海","财税","","","","38","未发布","未收敛","","","",""
"agent_510","总账指令类型查询","上海分公司","上海","财税","","","","36","未发布","未收敛","","","",""
"agent_560","税务产品知识库调用","上海分公司","上海","财税","","","","27","已发布","未收敛","","","",""
"agent_579","进项申报比对","上海分公司","上海","财税","","","","25","未发布","未收敛","","","",""
"agent_585","台账和汇总账余额对比","上海分公司","上海","财税","","","","24","未发布","未收敛","","","",""
"agent_590","筛选不可抵扣发票","上海分公司","上海","财税","","","","24","未发布","未收敛","","","",""
"agent_626","智审-寿险总部总账_导出节点_2025-06-19 11:33:13","上海分公司","上海","财税","","","","20","未发布","未收敛","","","",""
"agent_640","重点科目月结检查","上海分公司","上海","财税","","","","19","未发布","未收敛","","","",""
"agent_646","税务申报智能核对","上海分公司","上海","财税","","","","18","未发布","未收敛","","","",""
"agent_654","文化事业建设费测算","上海分公司","上海","财税","","","","17","未发布","未收敛","","","",""
"agent_675","不可抵扣进项税","上海分公司","上海","财税","","","","15","已发布","未收敛","","","",""
"agent_679","人格-重分类财务报表编制","上海分公司","上海","财税","","","","15","未发布","未收敛","","","",""
"agent_738","人格-增值税测算","上海分公司","上海","财税","","","","12","未发布","未收敛","","","",""
"agent_751","智能税审π(1)","上海分公司","上海","财税","","","","12","未发布","未收敛","","","",""
"agent_771","个税知识库","上海分公司","上海","财税","","","","10","已发布","未收敛","","","",""
"agent_778","发票信息提取","上海分公司","上海","财税","","","","10","已发布","未收敛","","","",""
"agent_786","智审-寿险总部总账_导出节点_2025-06-19 11:33:13(1)","上海分公司","上海","财税","","","","10","未发布","未收敛","","","",""
"agent_796","进项申报比对(2)","上海分公司","上海","财税","","","","10","未发布","未收敛","","","",""
"agent_799","财务月结重点科目检查程序包括核对科目余额、核对发生额准确性、调整差异、确保数据完整性，确保财务报表准确无误。","上海分公司","上海","财税","","","","9","未发布","未收敛","","","",""
"agent_803","人格-印花税测算(1)","总部","上海","财税","","","","9","未发布","未收敛","","","",""
"agent_816","智能税审π","上海分公司","上海","财税","","","","9","已发布","未收敛","","","",""
"agent_820","社保及税金回单识别","上海分公司","上海","财税","","","","9","未发布","未收敛","","","",""
"agent_831","人格-多税种税金测算","上海分公司","上海","财税","","","","8","未发布","未收敛","","","",""
"agent_839","印花税智能判断工作流_default_导出节点_2025-09-01 13:56:09","总部","上海","财税","","","","8","已发布","未收敛","","","",""
"agent_850","财报分析","总部","上海","财税","","","","8","未发布","未收敛","","","",""
"agent_854","进项申报比对(1)","上海分公司","上海","财税","","","","8","未发布","未收敛","","","",""
"agent_856","重点科目月结检查_导出节点_2025-07-21 10:38:21(1)","上海分公司","上海","财税","","","","8","未发布","未收敛","","","",""
"agent_909","智能税审π_导出节点_2025-04-15 16:24:28","上海分公司","上海","财税","","","","6","未发布","未收敛","","","",""
"agent_944","印花税智能判断工作流_测试","总部","上海","财税","","","","5","未发布","未收敛","","","",""
"agent_951","报税期间每日作业内容查询","上海分公司","上海","财税","","","","5","已发布","未收敛","","","",""
"agent_957","普通电商公司积分业务财税处理问答","上海分公司","上海","财税","","","","5","未发布","未收敛","","","",""
"agent_987","报税截止时间查询","上海分公司","上海","财税","","","","4","已发布","未收敛","","","",""
"agent_1005","重点科目月结检查_导出节点_2025-07-21 10:38:21","上海分公司","上海","财税","","","","4","未发布","未收敛","","","",""
"agent_1007","银保手续费发票认证小工具","上海分公司","上海","财税","","","","4","未发布","未收敛","","","",""
"agent_1026","合同印花税智能识别判断-内测版_导出节点_2025-06-13 15:08:17","上海分公司","上海","财税","","","","3","未发布","未收敛","","","",""
"agent_1076","人格-社保及税金智能识别_导出节点_2025-05-26 19:05:07","上海分公司","上海","财税","","","","2","未发布","未收敛","","","",""
"agent_1085","凭证一致性核对_导出节点_2025-08-14 16:08:08","上海分公司","上海","财税","","","","2","未发布","未收敛","","","",""
"agent_1095","房产税测算","上海分公司","上海","财税","","","","2","未发布","未收敛","","","",""
"agent_1128","风控-税务申报质检_导出节点_2025-06-10 09:59:43","上海分公司","上海","财税","","","","2","未发布","未收敛","","","",""
"agent_1129","风控-进项申报比对_导出节点_2025-07-23 15:33:21","上海分公司","上海","财税","","","","2","未发布","未收敛","","","",""
"agent_1200","税务申报质检","总部","上海","财税","","","","1","未发布","未收敛","","","",""
"agent_1201","税局工会经费识别(2)","总部","上海","财税","","","","1","未发布","未收敛","","","",""
"agent_1210","调用蜂鸟记录工单-财税","总部","上海","财税","","","","1","已发布","未收敛","","","",""
"agent_1217","资产数统计小工具V2","上海分公司","上海","财税","","","","1","未发布","未收敛","","","",""
"agent_432","印花税税目法定解释及税率","内江分公司","内江","财税","","","","57","未发布","未收敛","","","",""
"agent_604","发票识别","内江分公司","内江","财税","","","","22","已发布","未收敛","","","",""
